% Graph saved at Sat Mar 21 2020 16:56:24 GMT+0100 (czas środkowoeuropejski standardowy)
n 100 100
n 150 100
n 200 100
n 250 100
n 300 100
n 350 100
n 400 100
n 450 100
n 500 100
n 100 200
n 150 200
n 200 200
n 250 200
n 300 200
n 350 200
n 400 200
n 450 200
n 500 200
e 0 6 3
e 0 1 3
e 0 13 1
e 0 9 0
e 1 0 3
e 1 7 1
e 1 5 0
e 1 8 6
e 2 4 1
e 2 12 1
e 2 10 15
e 2 5 2
e 3 5 2
e 3 9 4
e 3 16 -1
e 3 11 20
e 4 7 0
e 4 8 3
e 4 2 1
e 5 9 6
e 5 1 0
e 5 2 2
e 5 3 1
e 6 12 2
e 6 7 7
e 6 8 5
e 6 0 3
e 7 6 7
e 7 1 1
e 7 4 0
e 8 1 6
e 8 4 3
e 8 9 3
e 8 6 5
e 9 3 3
e 9 8 3
e 9 0 0
e 9 5 6
e 10 11 0
e 10 2 16
e 10 14 0
e 10 16 19
e 11 12 13
e 11 10 -1
e 11 3 19
e 11 15 7
e 12 2 1
e 12 6 2
e 12 13 7
e 12 11 13
e 13 15 2
e 13 0 1
e 13 14 20
e 13 12 7
e 14 15 0
e 14 13 20
e 14 17 20
e 14 10 -1
e 15 11 7
e 15 13 2
e 15 16 19
e 15 14 0
e 16 10 19
e 16 3 -1
e 16 17 0
e 16 15 20
e 17 14 20
e 17 16 -1
